Organization ID,Organization Name,Reg Form,Signatory,T&C,Org Type,Callink Page,OASIS RSO Designation,OASIS Center Advisor 
351386,Chinese Undergraduate Pre-Law Student Association,Approved,2,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cuplsa,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91466,Chinese Union Club at Berkeley,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/chineseunionclub,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
91716,Chinmaya Yuva Kendra West at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/chyk,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
46421,ChiQ Magazine,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/chiqmagazine,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
220487,ChoreaCrew,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ChoreaCrew,LEAD Center Category: Performing Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
368909,Chris Kindness Club,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/chriskindness,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
378440,Christ Pursuers on Campus,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ChristPursuersonCampus,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
115618,Christian Health And Medical Professionals and Students,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CHAMPS,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
92084,Christian Science Organization at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/christianscienceorganization,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
92085,Christians at BerkeleyLaw,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/christiansatberkeleylaw,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
92086,Christians on Campus,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/christiansoncampus,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
91773,Christians United for Israel at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/christiansunitedforisrael,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
46661,Chun Jin Ahm,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/chunjinahm,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
158763,Cinebears - Need to change their name (remove Bear),Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cinebears,LEAD Center Category: Media & Film RSO (Moving to Pub/Media),Emily Enriquez at emilyenriquez@berkeley.edu
222010,Cinematic Arts and Production Club,Approved,7,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/capclubberkeley,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
91378,Cinematic Dissertation and Literary Interpretation,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cinematicdissertationandliteraryinterpretation,LEAD Center Category: Media & Film RSO (Moving to Pub/Media),Emily Enriquez at emilyenriquez@berkeley.edu
45928,Circle K International,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cki,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
342470,Circle Up,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CircleUp,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46705,Citizen Cycle,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/citizencycle,LEAD Center Category: Environmental & Sustainability RSO,Melissa Landeros at melissalanderos@berkeley.edu
221140,Citizen Entrepreneur Network at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CitizenEntrepreneurNetwork,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
324687,Citizens' Climate Lobby at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/citizensclimatelobby,LEAD Center Category: Environmental & Sustainability RSO,Melissa Landeros at melissalanderos@berkeley.edu
91987,"Citizens Foundation at Berkeley, The",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CitizensFoundation,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
164118,City Planning + Public Health Master's Students Committee,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/mcpmph,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46510,Civil and Electrical Engineering Graduate Student Organization,Not Started,1,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/gacivilandelectricalengineeringgraduatestudentorganization,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
333692,Civil and Environmental Engineering For Anti-Racism,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ceefar,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46375,Civil and Environmental Engineering Joint Fundraising Committee,Approved,7,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ceejfc,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
302682,Civil Discourse Society of Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cds,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
68908,Civil Rights Outreach Project,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/civilrightsoutreachproject,LEAD Center Category: Political & Advocacy RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
324155,Civil Ventures at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/civilventures,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
46687,"Classical Forum, The",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/classicalforum,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
368596,Clay Club,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/clayclub,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
342063,Clean Energy Leaders in Law,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cleanenergyleaders,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
145186,Clean Money at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cmab,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
219561,"CLEAR Project, The",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/clearproject,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
85697,Climate Change and Health IdeaLab,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/chil,LEAD Center Category: Environmental & Sustainability RSO,Melissa Landeros at melissalanderos@berkeley.edu
351160,Climate Fresk at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ClimateFreskatBerkeley,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91900,Climbing Team of Berkeley,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/climbingteam,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
159037,ClinicConnects,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ClinicConnects,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46167,Clio's Scroll,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cliosscroll,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
319975,Cloud at California,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cloudatcal,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
378042,Club of Business at Berkeley,Approved,2,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/ClubofBusinessatBerkeley,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
302880,Club Ontology,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/clubontology,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91256,CMG Strategy Consulting (Formerly Creative Marketing Group),Inprogress,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cmgstrategyconsulting,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
46384,CNMAT Users Group,Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gacnmatusersgroup,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91989,CoachArt at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/coachart,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91990,Coaching Corps at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/coachingcorps,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91577,CoAct,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CoAct,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91748,Coalition for Diversity,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/coalitionfordiversity,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
135409,Coalition for Diversity at Berkeley Law,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cfd,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91255,Coalition for Self-Determination,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CoalitionforSelfDetermination,LEAD Center Category: Political & Advocacy RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
218580,"Coalition for the Institutionalization of Free Menstrual Products, The",Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cifmp,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
334115,Coalition of Minorities in Tech Law,Approved,2,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/coalitionofminoritiesintechlaw,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
45879,Coalition to Defend Affirmative Action By Any Means Necessary,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/BAMN,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91510,Coast and Bay Keepers of Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/coastandbaykeepers,LEAD Center Category: Environmental & Sustainability RSO,Melissa Landeros at melissalanderos@berkeley.edu
46256,Cocoa & Company,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cocoacompany,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
343558,Code for Good,Approved,4,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/CodeforGood,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91340,Code for the City of Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/codefor_thecity_ofberkeley,LEAD Center Category: Engineering/Computer Science RSO,Melissa Landeros at melissalanderos@berkeley.edu
84627,Code the Change,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CodeTheChange,LEAD Center Category: Engineering/Computer Science RSO,Melissa Landeros at melissalanderos@berkeley.edu
157521,Codebase,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/codebase,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
137706,CodeBears - Need to change their name (remove Bear),Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/codebears,LEAD Center Category: Engineering/Computer Science RSO,Melissa Landeros at melissalanderos@berkeley.edu
91287,Codeology,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/codeology,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
351418,Codet at Berkeley,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/codetatberkeley,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
368338,Codify,Approved,6,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/codify,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91732,Coffee Break en Espanol,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/coffeebreak,LEAD Center Category: Graduate Student RSO,Jon Rey at jonrey@berkeley.edu
350847,Coffee Club at Berkeley (CCB),Approved,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/coffeeclubatberkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91247,Cognitive Science Organization for Graduate Students,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cogs,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
46287,Cognitive Science Students Association,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/cssa,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
46665,Cognizance,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Cognizance,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
378430,Collaborative Dorms Society,Approved,5,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/CollaborativeDormsSociety,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46188,College Admissions Mentorship Program (Formerly People's Test Preparation Service),Approved,5,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/CAMP,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
301961,College Diabetes Network at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/collegediabetesnetwork,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91804,College Entrepreneur Organization at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/ceob,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91792,College Leap at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CollegeLeapatBerkeley,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91454,College Micro Ventures,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/collegemicroventures,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
289456,College of Chemistry Article Club,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/articleclub,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46667,College of Environmental Design Graduate Student Council,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/gacollegeofenvironmentaldesigngraduatestudentcounc,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
46316,College of Environmental Design Interdepartmental Group,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/gacollegeofenvironmentaldesigninterdepartmentalgroup,OASIS Center Category: Academic RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
221995,College of Sainte Katherine- the SCA branch at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/scaatberkeley,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91248,College Science Bowl,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/collegesciencebowl,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
46429,College Ski and Snowboard Club,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/cssc,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91249,College Success Network at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/collegesuccessnetwork,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
187202,CollegePrep.org,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/collegeprep,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46244,Collegiate 100 (formerly 100 College Black Men),Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Collegiate100UCB,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,B.B. Bradley (Black/AfAm RSOs) at bradleyb@berkeley.edu
325663,Collegiate Association for the Research of Principles,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/collegiateassociationresearchprinciples,LEAD Center Category: Spiritual RSO,Luly Sbeta at wsbeta@berkeley.edu
221498,Collegiate Sales Society [Formerly Vendition Sales Society],Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/CollegiateSalesSociety,LEAD Center Category: Professional RSO,Jon Rey at jonrey@berkeley.edu
91345,Colloquium in the Studies of Music - missing constitution,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/colloquium,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91478,Colombians at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/colombians,LEAD Center Category: Cultural & Identity/International RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
159706,Coloring for Conservation,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/coloringforconservation,LEAD Center Category: Environmental & Sustainability RSO,Melissa Landeros at melissalanderos@berkeley.edu
91433,Colors of Theater,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/colorsoftheater,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO,Melissa Landeros at melissalanderos@berkeley.edu
385102,ColorStack at Berkeley,Approved,5,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/ColorStackatBerkeley,LEAD Center Category: Engineering/Computer Science RSO,Jon Rey at jonrey@berkeley.edu
322279,Combat Robotics at Berkeley,Approved,5,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/combatrobotics,LEAD Center Category: Recreational RSO,Millicent Morris-Chaney at millicen@berkeley.edu
219957,Comical,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/comical,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
323199,Comics Studio,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/comicsstudio,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
45929,Committee for Korea Studies,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/committeeforkoreastudies,LEAD Center Category: Cultural & Identity/International RSO,Melissa Landeros at melissalanderos@berkeley.edu
46518,Common Cause of Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/commoncause,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
115220,Common Sense Action at Berkeley,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/commonsenseactionatberkeley,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
46658,Community College Success of Berkeley,Not Started,0,In Progress,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/communitycollegesuccessofberkeley,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
91825,Community Defense Project,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/CommunityDefenseProject,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91994,Community for the Promotion of Animal Welfare,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/communityforthepromotionofanimalwelfare,LEAD Center Category: Political & Advocacy RSO,Millicent Morris-Chaney at millicen@berkeley.edu
91945,Community Health & Wellness,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/Communityhealthandwellness,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
46317,Community Legal Outreach,Not Started,0,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/tenantsrightsworkshop,LEAD Center Category: Graduate Student RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
63025,Community Projects,Approved,7,Yes,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/CommunityProjects,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
158082,Community Restorative Justice,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/communityRJ,LEAD Center Category: Service RSO,Jon Rey (Grad RSO OASIS Advisor) at jonrey@berkeley.edu
91995,Community Spotlight,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/communityspotlight,LEAD Center Category: Service RSO,Emily Enriquez at emilyenriquez@berkeley.edu
91840,Company,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/company,LEAD Center Category: Arts RSO,Luly Sbeta at wsbeta@berkeley.edu
60651,Comparative Literature Publication Association (formerly known as Comparative Literature Undergraduate Journal/ Vagabond),Denied,4,In Progress,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/clpa,LEAD Center Category: Media & Publications RSO,Melissa Landeros at melissalanderos@berkeley.edu
91484,Comparative Literature Undergraduate Association (CLUA),Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/clua,OASIS Center Category: Academic RSO,Jon Rey at jonrey@berkeley.edu
91485,Compass Fellows,Not Started,0,In Progress,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/compassfellowship,LEAD Center Category: Graduate Student RSO,Jon Rey at jonrey@berkeley.edu
